id,image_url,image_format,link,title,date_from,date_to,description
a9617007,http://acms.sl.nsw.gov.au/_zoomify/2014/D24978/a9617007.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1064124&suppress=N&imgindex=7,Alexandria,1880,1930,Sydney Subdivision Plan
a2813001,http://acms.sl.nsw.gov.au/_zoomify/2009/D03343/a2813001-zoom.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=1,"Cabramatta, The Beach Estate",1880,1930,Sydney Subdivision Plan
a2813002,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813002.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=2,"Cabramatta, Bonyrigg Park",1880,1930,Sydney Subdivision Plan
a2813003,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813003.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=3,"Cabramatta, Bonyrigg Park",1880,1930,Sydney Subdivision Plan
a2813004,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813004.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=4,"Cabramatta, Connewarre Estate",1880,1930,Sydney Subdivision Plan
a2813006,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813006.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=6,"Cabramatta, Cecil Park",1880,1930,Sydney Subdivision Plan
a2813007,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813007.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=7,"Cabramatta, Canley Vale, The Centre Estate",1880,1930,Sydney Subdivision Plan
a2813008,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813008.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=8,"Cabramatta, Connewarre Estate",1880,1930,Sydney Subdivision Plan
a2813009,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813009.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=9,"Cabramatta, Township",1880,1930,Sydney Subdivision Plan
a2813010,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813010.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=10,"Cabramatta, great St Railway",1880,1930,Sydney Subdivision Plan
a2813015,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813015.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=15,"Cabramatta, Township",1880,1930,Sydney Subdivision Plan
a2813018,http://acms.sl.nsw.gov.au/_zoomify/2015/D33842/a2813018.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=889693&suppress=N&imgindex=18,"Cabramatta, The New Township",1880,1930,Sydney Subdivision Plan
