title,collection,status,georeferencer_id,id,thumbnail,num_gcps,center,south_west,north_east,envelope,marc034,rms_error,user_name,user_identity,date,date_time,verified_revision,verified_marc034,verified_user_name,verified_user_identity
"Waverley, Sheet 47, 1889",sydney,georeferenced,sJ9lFyRDx8AU0iRer0hY2w/201502100926-8MEHVM,a1367679,http://lh4.ggpht.com/4L5EboEoIgM9rzKf57r9t_CAwWfm3Le4W7Eq2ZgoT9_KyTeld3Q7UKfE-DHiZuxU8V6YqcypU-y_evzEyUjDesapNg,14,"-33.907380,151.261418","-33.909754,151.258193","-33.905006,151.264644","<Polygon><outerBoundaryIs><coordinates>151.259003,-33.905006 151.258193,-33.909027 151.263833,-33.909754 151.264644,-33.905734</coordinates></outerBoundaryIs></Polygon>",$dE1511529$eE1511552$fS0335418$gS0335435,0.00006100634812364203319982880469,Johannes Tiberius Bodel Nijenhuis,ab9337e8ab3627aa26f8e7affe8ab617f25798f1,02/10/2015,02/10/2015 09:26,,,,
"City of Sydney, Sheet L4, 1894",sydney,georeferenced,dOfS5jyhHo3Z9U1ZUaeadI/201502240514-e5PZNm,a1367547,http://lh4.ggpht.com/m2cGqUc7A1ogcTqiGSdY9f4Sq5BwmkstF1DdQsmWFAgHQWq2RDBe23vk3XL_eI5fF6KpShNH-eTcSWHWgnLxhZce,8,"-33.859987,151.214840","-33.861552,151.212375","-33.858422,151.217305","<Polygon><outerBoundaryIs><coordinates>151.212396,-33.858468 151.212375,-33.861552 151.217284,-33.861506 151.217305,-33.858422</coordinates></outerBoundaryIs></Polygon>",$dE1511244$eE1511302$fS0335130$gS0335141,0.00001822410771272364539744535727,andycarr,632a9b0b17a01fdc7381979c361b0d984b91f17f,02/24/2015,02/24/2015 05:14,,,,
"The Glebe, Sheet 25, 1890",sydney,georeferenced,yqJzkpUma0FvYozmilkxdd/201412081020-x1MGaz,a1367158,http://lh5.ggpht.com/Yn7_oVTk36w0UXjDbcmBwg-7tYLjlcucS3tIs6nOFc6r-hWEpX-gqXPClq8CnjkhuiHnfHWjFDu8rCYI07GG7Ruf,7,"-33.872250,151.184455","-33.873729,151.182705","-33.870772,151.186206","<Polygon><outerBoundaryIs><coordinates>151.184686,-33.870772 151.182705,-33.871946 151.184225,-33.873729 151.186206,-33.872554</coordinates></outerBoundaryIs></Polygon>",$dE1511057$eE1511110$fS0335214$gS0335225,0.00002517108957684795680497143178,Dalibor Janák,014d60ba3f5b1b175ecf619b208072b339720445,12/08/2014,12/08/2014 10:20,,,,
"Buckle's Block No.203, 21.12.23 (col) (updated)",sydney,georeferenced,DKJKsrshiyzxG61fT70Usm/201503060406-LpKYkx,a1358113,http://lh6.ggpht.com/t8J3hCBlmf_UJlBNhYnm47K-TDW67-CO9jcQBkw_PfUWnDpUkce531_kO_wstUuXt_cd0UfLImRNhfQxecOezqNb3xk,4,"-33.871847,151.191871","-33.874377,151.189782","-33.869316,151.193960","<Polygon><outerBoundaryIs><coordinates>151.191833,-33.869316 151.189782,-33.871798 151.191910,-33.874377 151.193960,-33.871895</coordinates></outerBoundaryIs></Polygon>",$dE1511123$eE1511138$fS0335209$gS0335227,0.00021699802226108542936230949572,Rhavinmad,b1e5f59c52a73d731ee19dbf701a81fff903ddaa,03/06/2015,03/06/2015 04:06,,,,
"Woollahra, Sheet 31, 1893",sydney,georeferenced,AQJvqTyjOSObPZwoy02BCI/201610242144-pIh2eq,a1367715,http://lh5.ggpht.com/PXnpNYFtQnFaqYeenP09wldkolfCZGpc6rHveAysvA5tkmzyxu11wi-j1wGWyvNNhWwr5CurOchYejD34Buan8MZ9w,8,"-33.900988,151.238328","-33.912743,151.223408","-33.889233,151.253247","<Polygon><outerBoundaryIs><coordinates>151.239314,-33.898766 151.253247,-33.889233 151.237341,-33.903210 151.223408,-33.912743</coordinates></outerBoundaryIs></Polygon>",$dE1511324$eE1511511$fS0335321$gS0335445,0.00674448625974639892621809167395,Lewis Fogerty,b1128986a9bae8b80350099ae30bb3c16e99b863,10/24/2016,10/24/2016 21:44,,,,
"Leichhardt, Sheet 56, 1893",sydney,georeferenced,wu7ZLm9lAqqMXFk6IsUvo7/201503051237-d8ZARt,a1367218,http://lh3.ggpht.com/aZPDu2WnWIxC5uWp98eCiPXtYv18ZblbsqaTHcn4PICRMGBLFq8KxqSGaisssZs7KWfdSf-KVXZ_kZo7wdMRKbDDrA,4,"-33.873047,151.157783","-33.874896,151.154793","-33.871197,151.160773","<Polygon><outerBoundaryIs><coordinates>151.154793,-33.872273 151.155965,-33.874896 151.160773,-33.873820 151.159600,-33.871197</coordinates></outerBoundaryIs></Polygon>",$dE1510917$eE1510938$fS0335216$gS0335229,0.00000927429578500675396335491130,SirBrian Cooper,5458d6bd1f52cc05577f46bd5d2ccd27f68111e8,03/05/2015,03/05/2015 12:37,,,,
"Woollahra, Sheet 16, 1888",sydney,georeferenced,OOyJqipwIwCT9zOpUBSKJM/201503052329-Sjt3eD,a1367696,http://lh3.ggpht.com/LDYQRtds6yojf-CfhwiBskzklbphq5DYwDUq3axDQ1UBF-38dHqL0sy_UiwchM_W1i3q76wC3IAOkBQIpRh18uQ5cVnN,5,"-33.877739,151.236893","-33.879389,151.234505","-33.876089,151.239282","<Polygon><outerBoundaryIs><coordinates>151.234513,-33.876089 151.234505,-33.879387 151.239274,-33.879389 151.239282,-33.876091</coordinates></outerBoundaryIs></Polygon>",$dE1511404$eE1511421$fS0335233$gS0335245,0.00001329458279665832629522735642,RyanV,6d10310f953e47f0c0711de9075dfe6f19df27d8,03/05/2015,03/05/2015 23:29,,,,
"Petersham, Sheet 13, 1890",sydney,georeferenced,EqRS1r3dJcCUN2G7dE8jYj/201410302347-IfNQ8s,a1367336,http://lh5.ggpht.com/tYkPVz04yC1qEIhds8-ZNyx3D-QZAB21_QK45zKd8dWk4_uxgUDYUpA3f2Zzem2qPKixhtONdPM8T29IYc-5RsGLe8Y,6,"-33.892755,151.158173","-33.893869,151.154234","-33.891640,151.162113","<Polygon><outerBoundaryIs><coordinates>151.154234,-33.892124 151.160164,-33.891640 151.162113,-33.893386 151.156183,-33.893869</coordinates></outerBoundaryIs></Polygon>",$dE1510915$eE1510943$fS0335329$gS0335337,0.00139233545027178402114786948118,Chris Burns,1e2a1157b59d446dac8205423e73c03bfdb8b805,10/30/2014,10/30/2014 23:47,,,,
"The Glebe, Sheet 16, 1889",sydney,georeferenced,nvY7p4F9U0UdfobUpqGCOU/201501071446-kEgXbV,a1367149,http://lh4.ggpht.com/RQ06DiIRH2L484W17i9-Jhdtl2s_p8O1Ov10oH5455WVjdsupa-IXVTFE1G3w65MCwbUHxDZvS5yFQVdLiTDcPF-lDY,7,"-33.877700,151.186360","-33.879446,151.184423","-33.875954,151.188297","<Polygon><outerBoundaryIs><coordinates>151.186365,-33.875954 151.184423,-33.877060 151.186355,-33.879446 151.188297,-33.878339</coordinates></outerBoundaryIs></Polygon>",$dE1511103$eE1511117$fS0335233$gS0335246,0.00004420212209258211232725324646,Klokan Technologies,7a7a62b6f1564b0807e82dfc7305af0113b90e50,01/07/2015,01/07/2015 14:46,,,,
"Redfern, Sheet 31, Eveleigh Railway Yards, 1889",sydney,georeferenced,HjFr7PZ76Pm9bpMSwZDcdo/201502130234-TPI7ZA,a1367405,http://lh4.ggpht.com/vGso-cAQ69OAY10QDY0ZvHRxKcR0lQr-8urJF8rUoA5BHFOyxAYCD60g47JSTUyufb_xpIk0xUzIxxh6_NUzp5TVcQ,3,"-33.893733,151.195819","-33.895948,151.194198","-33.891517,151.197440","<Polygon><outerBoundaryIs><coordinates>151.196708,-33.891517 151.194198,-33.892414 151.194930,-33.895948 151.197440,-33.895052</coordinates></outerBoundaryIs></Polygon>",$dE1511139$eE1511150$fS0335329$gS0335345,0.00000000000002929642751054231969,AdamL,1af8f3ac5b642df978afc99712017752c7187d5e,02/13/2015,02/13/2015 02:34,,,,
